Z,DISTRICT,COUNTY,ACRES,POP,HH,WORK,VEH,EMP,EMP_NOSG,SCHOOL,IND,RET,HTRET,OFF,SER,SG_RET,SG_HOS,SG_AIR,SG_COL,SG_NAME,ID,N
1,4,51019,2452.285470,1525,794,760,1634,100,100,0,30,32,7,5,26,0,0,0,0,,0,1
2,4,51019,888.116685,401,154,154,305,10,10,0,0,0,0,5,5,0,0,0,0,,1,2
3,5,51023,1035.437895,722,352,358,618,815,815,0,486,167,3,15,144,0,0,0,0,,2,3
4,5,51023,1256.080202,2562,1060,1486,2327,179,179,672,7,5,37,10,120,0,0,0,0,,3,4
5,5,51023,1531.653521,1441,462,741,1085,470,470,0,119,61,4,220,66,0,0,0,0,,4,5
6,5,51023,3272.921177,704,276,423,600,106,106,0,27,3,0,16,60,0,0,0,0,,5,6
7,5,51023,811.286757,201,107,112,157,63,63,471,1,1,1,0,60,0,0,0,0,,6,7
8,5,51023,2429.335484,1750,695,784,1451,40,40,0,25,2,5,3,5,0,0,0,0,,7,8
9,5,51023,663.991677,950,329,587,844,71,71,0,0,7,0,11,53,0,0,0,0,,8,9
10,5,51023,1886.182467,1979,710,1070,1824,55,55,0,17,4,1,8,25,0,0,0,0,,9,10
11,5,51023,1325.371364,826,275,364,629,640,640,321,42,125,177,78,218,0,0,0,0,,10,11
12,5,51023,2174.912357,1207,450,498,920,180,180,0,7,18,108,4,43,0,0,0,0,,11,12
13,5,51023,962.071449,847,351,385,786,596,596,1097,3,144,109,107,233,0,0,0,0,,12,13
14,5,51023,1672.528700,1401,643,724,1365,491,491,391,275,5,44,29,138,0,0,0,0,,13,14
15,5,51023,2505.283822,1193,517,574,1199,181,181,0,16,65,7,23,70,0,0,0,0,,14,15
16,5,51023,3851.127750,975,366,425,831,115,115,0,72,0,0,29,14,0,0,0,0,,15,16
18,5,51023,2916.712649,906,364,460,738,375,375,244,31,4,0,246,94,0,0,0,0,,16,18
19,2,51121,1090.383110,752,257,368,524,166,166,0,100,22,6,4,34,0,0,0,0,,17,19
20,2,51121,646.910772,656,239,278,456,225,225,817,80,0,6,2,137,0,0,0,0,,18,20
21,4,51161,182.733251,738,443,504,694,40,40,0,5,21,1,2,11,0,0,0,0,,19,21
22,4,51161,147.919122,679,332,237,480,975,975,631,68,212,57,338,300,0,0,0,0,,20,22
23,4,51161,159.645516,1071,427,434,499,344,344,0,0,65,78,21,180,0,0,0,0,,21,23
24,4,51161,237.749310,747,334,299,439,130,130,0,2,15,13,6,94,0,0,0,0,,22,24
25,4,51161,272.866588,1478,538,792,1156,45,45,435,0,0,0,0,45,0,0,0,0,,23,25
26,4,51161,235.123690,983,353,600,716,250,250,500,52,36,74,43,45,0,0,0,0,,24,26
27,4,51161,390.584553,1575,722,804,1210,820,820,0,11,145,145,46,473,0,0,0,0,,25,27
28,4,51161,524.677143,1400,546,657,965,441,441,0,75,84,46,87,149,0,0,0,0,,26,28
29,4,51161,1372.724226,1203,499,494,878,406,406,0,4,249,71,5,77,0,0,0,0,,27,29
30,4,51161,504.750411,1446,565,794,1186,431,431,2039,9,100,6,28,288,0,0,0,0,,28,30
31,4,51161,677.045762,1739,741,794,1675,216,216,0,135,19,22,16,24,0,0,0,0,,29,31
32,4,51161,939.083221,1067,374,639,1054,41,41,0,0,5,6,6,24,0,0,0,0,,30,32
33,4,51161,1910.779175,682,319,389,769,150,150,0,122,4,0,12,12,0,0,0,0,,31,33
34,4,51161,3805.006661,1239,538,617,1238,165,165,323,53,9,2,14,87,0,0,0,0,,32,34
35,4,51161,521.108025,1223,464,695,955,25,25,0,9,0,0,0,16,0,0,0,0,,33,35
36,1,51161,1641.402631,3247,1550,1818,2833,2135,2135,0,147,554,317,133,984,0,0,0,0,,34,36
37,1,51161,110.156755,304,107,202,222,1805,1805,0,42,193,113,938,519,0,0,0,0,,35,37
38,1,51161,64.156542,0,0,0,0,950,950,0,0,623,197,36,94,0,0,0,0,,36,38
39,1,51161,454.411540,3111,1709,1851,2376,1290,1290,412,28,109,149,386,618,0,0,0,0,,37,39
40,1,51161,1275.213374,4661,2039,2344,3998,954,954,2581,174,114,0,120,546,0,0,0,0,,38,40
41,1,51161,499.387751,2347,1067,1104,1930,1481,1481,0,150,341,266,191,533,0,0,0,0,,39,41
42,1,51161,337.362744,1412,715,670,1290,639,639,0,1,90,183,118,247,0,0,0,0,,40,42
43,1,51161,745.798898,4765,2328,2626,3988,1239,1239,0,148,291,37,493,270,0,0,0,0,,41,43
44,1,51161,1026.299000,2711,962,1483,2364,359,359,999,33,14,11,70,231,0,0,0,0,,42,44
45,1,51161,560.391550,4035,1559,1819,3026,1235,1235,495,224,83,153,377,398,0,0,0,0,,43,45
46,1,51161,1069.528125,1964,798,869,1698,69,69,0,17,3,0,17,32,0,0,0,0,,44,46
47,1,51161,1291.361457,720,228,286,475,145,145,0,0,0,67,33,45,0,0,0,0,,45,47
48,2,51161,601.505223,65,33,35,49,635,635,0,89,174,0,321,51,0,0,0,0,,46,48
49,2,51161,245.684767,733,346,134,363,699,699,247,9,1,0,1,688,0,0,0,0,,47,49
50,2,51161,4752.500508,2130,821,1227,1800,270,270,0,246,6,0,1,17,0,0,0,0,,48,50
51,2,51161,830.183256,825,354,427,768,95,95,0,14,0,0,0,81,0,0,0,0,,49,51
52,2,51161,952.954339,1470,487,861,1227,120,120,0,14,0,0,85,21,0,0,0,0,,50,52
53,2,51161,1496.076499,955,367,378,734,50,50,0,6,0,0,0,44,0,0,0,0,,51,53
54,3,51161,1547.498091,958,379,485,868,130,130,0,5,0,16,18,91,0,0,0,0,,52,54
55,3,51161,370.935493,1265,461,656,926,170,170,0,0,15,0,37,118,0,0,0,0,,53,55
56,3,51161,1368.697305,1303,467,780,1011,970,970,444,27,17,0,213,713,0,0,0,0,,54,56
57,3,51161,882.988872,1675,807,855,1459,1224,1224,0,175,149,6,167,727,0,0,0,0,,55,57
58,3,51161,764.583572,2529,1007,1495,2254,1470,1470,1728,30,112,72,165,1091,0,0,0,0,,56,58
59,3,51161,962.626737,2473,1049,1275,2171,1030,1030,0,370,281,93,54,232,0,0,0,0,,57,59
60,3,51161,273.674589,245,104,104,146,3019,3019,0,1937,249,178,288,367,0,0,0,0,,58,60
61,3,51161,292.145656,199,66,50,88,350,28,0,0,0,0,3,25,0,0,0,322,Hollins University,59,61
62,3,51161,319.154591,687,350,428,529,810,810,444,59,64,59,150,478,0,0,0,0,,60,62
63,3,51161,433.273005,2115,938,1095,1525,505,505,0,6,150,126,80,143,0,0,0,0,,61,63
64,3,51161,712.992557,2186,1047,1236,2048,697,697,0,317,64,83,33,200,0,0,0,0,,62,64
65,3,51161,334.815308,1699,929,862,1161,630,630,0,49,134,146,98,203,0,0,0,0,,63,65
66,3,51161,365.128790,2371,988,905,1574,305,305,0,1,3,2,4,295,0,0,0,0,,64,66
67,3,51161,551.856212,1142,419,494,818,666,666,436,17,369,4,14,262,0,0,0,0,,65,67
68,3,51161,1745.472830,2118,929,1515,2250,505,505,0,243,145,8,93,16,0,0,0,0,,66,68
69,4,51161,425.373963,1766,746,996,1528,700,700,433,19,416,120,24,121,0,0,0,0,,67,69
70,1,51161,407.953900,1523,685,779,1429,394,394,0,1,8,5,366,14,0,0,0,0,,68,70
71,4,51161,1188.700541,942,322,379,822,41,41,0,2,10,0,29,0,0,0,0,0,,69,71
72,4,51161,1161.417065,3358,1235,1756,2845,75,75,0,10,10,15,20,20,0,0,0,0,,70,72
73,4,51161,4025.835280,1058,399,522,819,295,295,0,171,16,0,58,50,0,0,0,0,,71,73
74,1,51161,2298.694865,669,265,291,651,254,254,0,88,39,0,34,93,0,0,0,0,,72,74
75,1,51161,3315.066568,737,296,339,729,295,295,303,52,16,0,0,227,0,0,0,0,,73,75
76,1,51161,469.661794,742,242,436,593,145,145,0,7,1,0,13,124,0,0,0,0,,74,76
77,1,51161,624.863006,1406,465,596,981,561,561,0,453,21,9,4,74,0,0,0,0,,75,77
78,1,51161,2490.537768,981,419,447,926,100,100,0,50,6,0,15,29,0,0,0,0,,76,78
79,1,51161,2749.389895,966,407,580,931,121,121,334,39,6,14,16,46,0,0,0,0,,77,79
80,1,51161,3049.005675,1140,428,627,1044,96,96,0,15,8,4,16,53,0,0,0,0,,78,80
81,1,51161,2052.200951,1349,421,650,1084,170,170,0,82,21,0,39,28,0,0,0,0,,79,81
82,1,51161,5536.165654,933,424,480,936,45,45,0,7,0,0,14,24,0,0,0,0,,80,82
83,1,51161,6223.824035,925,481,417,1057,225,225,0,101,0,0,53,71,0,0,0,0,,81,83
84,2,51161,2558.699185,1090,455,485,1106,400,400,1342,74,1,0,7,318,0,0,0,0,,82,84
85,2,51161,2843.303929,859,377,525,750,540,540,0,152,247,8,22,111,0,0,0,0,,83,85
86,2,51161,2621.537983,491,185,283,508,25,25,0,13,1,0,7,4,0,0,0,0,,84,86
195,3,51161,171.839659,22,10,12,19,1,1,0,0,0,0,0,1,0,0,0,0,,85,195
87,3,51161,1062.094658,33,16,13,30,1,1,0,0,0,0,0,1,0,0,0,0,,86,87
89,9,51770,186.615410,75,31,41,40,1700,1700,0,190,20,150,250,1090,0,0,0,0,,87,89
90,9,51770,161.245690,734,526,420,462,1711,1711,0,13,32,6,260,1400,0,0,0,0,,88,90
91,11,51770,105.690529,0,0,0,0,600,600,0,0,28,0,322,250,0,0,0,0,,89,91
92,9,51770,293.215115,2950,1622,1539,2043,815,815,378,7,25,33,355,395,0,0,0,0,,90,92
93,9,51770,118.525431,348,228,148,154,315,315,0,14,75,21,45,160,0,0,0,0,,91,93
94,9,51770,185.782946,545,194,245,241,155,155,0,68,37,20,5,25,0,0,0,0,,92,94
95,9,51770,491.857579,988,385,252,362,820,820,361,226,221,0,18,355,0,0,0,0,,93,95
96,10,51770,727.262949,5661,2588,2929,3880,1771,1771,859,589,257,72,109,744,0,0,0,0,,94,96
97,10,51770,265.007462,2376,1018,1146,1990,105,105,0,8,7,0,27,63,0,0,0,0,,95,97
98,10,51770,456.473792,2566,1154,1492,2034,310,310,356,29,5,57,69,150,0,0,0,0,,96,98
99,10,51770,281.290453,734,319,469,719,485,485,1947,11,5,0,294,175,0,0,0,0,,97,99
100,10,51770,280.205587,2688,1433,1662,2268,469,469,282,3,64,188,82,132,0,0,0,0,,98,100
101,10,51770,276.394658,1903,1008,1269,1667,199,199,0,17,34,25,50,73,0,0,0,0,,99,101
102,10,51770,72.271881,258,161,202,207,615,615,0,18,174,192,114,117,0,0,0,0,,100,102
103,11,51770,119.967530,96,37,27,29,545,545,0,26,254,17,52,196,0,0,0,0,,101,103
104,10,51770,630.945898,1788,876,1018,1496,759,413,881,27,29,161,48,148,0,0,0,346,Virginia Western Community College,102,104
105,11,51770,414.907694,1538,590,769,1452,440,440,0,119,151,60,20,90,0,0,0,0,,103,105
106,11,51770,184.472635,1507,922,850,1323,720,720,363,17,47,110,160,386,0,0,0,0,,104,106
107,11,51770,459.312716,1651,691,899,1380,345,345,0,12,20,0,84,229,0,0,0,0,,105,107
108,11,51770,441.055010,1095,499,459,738,2874,1455,0,2,1,3,30,1419,0,1419,0,0,Roanoke Memorial Hospital,106,108
109,11,51770,975.137627,2539,1060,1213,1886,85,85,336,21,7,4,5,48,0,0,0,0,,107,109
110,11,51770,346.035174,1386,600,635,951,80,80,0,1,42,19,7,11,0,0,0,0,,108,110
111,11,51770,356.711721,994,436,477,592,141,141,0,50,3,15,67,6,0,0,0,0,,109,111
112,11,51770,315.217985,205,113,56,113,525,525,0,243,130,8,20,124,0,0,0,0,,110,112
113,11,51770,270.568666,2372,934,1060,1724,269,269,257,116,16,9,28,100,0,0,0,0,,111,113
114,11,51770,296.773269,1549,675,640,1067,585,585,0,81,237,76,4,187,0,0,0,0,,112,114
115,11,51770,141.968752,766,252,245,314,25,25,0,0,0,0,0,25,0,0,0,0,,113,115
116,11,51770,209.514683,2125,900,854,1271,390,390,549,16,66,6,25,277,0,0,0,0,,114,116
117,11,51770,232.936323,2350,825,876,1346,920,920,0,143,378,139,39,221,0,0,0,0,,115,117
118,11,51770,239.856815,48,17,17,17,642,642,0,42,50,8,42,500,0,0,0,0,,116,118
119,11,51770,116.124158,0,0,0,0,1288,1288,0,423,161,10,180,514,0,0,0,0,,117,119
120,12,51770,162.415634,304,117,158,198,375,375,0,50,125,10,70,120,0,0,0,0,,118,120
121,11,51770,161.897824,967,297,479,476,169,169,0,47,48,43,8,23,0,0,0,0,,119,121
122,11,51770,206.622369,937,435,532,701,18,18,0,3,0,0,1,14,0,0,0,0,,120,122
123,12,51770,225.696085,875,374,389,698,139,139,0,14,41,41,7,36,0,0,0,0,,121,123
124,12,51770,286.932031,878,445,334,601,110,110,0,83,2,0,4,21,0,0,0,0,,122,124
125,12,51770,147.334558,844,382,382,546,450,450,0,185,58,6,36,165,0,0,0,0,,123,125
126,12,51770,214.285426,1569,803,803,990,366,366,0,51,134,38,11,132,0,0,0,0,,124,126
127,12,51770,166.599810,1834,737,814,1160,230,230,0,6,21,34,4,165,0,0,0,0,,125,127
128,12,51770,156.215321,384,247,329,352,1331,1331,0,208,329,63,595,136,0,0,0,0,,126,128
129,12,51770,187.935101,722,426,277,599,880,880,0,180,200,50,100,350,0,0,0,0,,127,129
130,9,51770,146.485350,848,326,169,215,455,455,0,0,105,0,13,337,0,0,0,0,,128,130
131,9,51770,166.712592,1360,668,425,531,225,225,0,6,26,0,2,191,0,0,0,0,,129,131
132,9,51770,218.753787,1303,535,347,492,90,90,904,0,2,0,2,86,0,0,0,0,,130,132
133,9,51770,64.049120,824,371,281,392,365,365,0,0,0,0,33,332,0,0,0,0,,131,133
134,8,51770,290.201137,680,281,307,349,149,149,0,0,22,2,123,2,0,0,0,0,,132,134
135,8,51770,173.692484,1404,570,428,697,80,80,0,0,1,3,1,75,0,0,0,0,,133,135
136,9,51770,263.610670,2085,897,836,1139,520,520,0,329,64,6,7,114,0,0,0,0,,134,136
137,8,51770,151.015327,981,267,295,390,379,379,0,70,98,14,18,179,0,0,0,0,,135,137
138,8,51770,167.083195,1057,451,437,571,85,85,462,2,0,3,3,77,0,0,0,0,,136,138
139,8,51770,217.194153,1284,676,629,1046,175,175,0,44,2,25,53,51,0,0,0,0,,137,139
140,8,51770,305.208686,2334,1030,1050,1809,100,100,0,4,7,0,11,78,0,0,0,0,,138,140
141,8,51770,322.577933,1878,771,437,434,1350,1350,0,545,672,50,11,72,0,0,0,0,,139,141
142,8,51770,409.474176,1945,731,958,1427,350,350,487,11,110,10,25,194,0,0,0,0,,140,142
143,8,51770,329.847980,1927,882,709,550,235,235,0,18,51,20,21,125,0,0,0,0,,141,143
144,8,51770,534.236729,2042,872,907,1463,674,674,692,112,119,24,20,399,0,0,0,0,,142,144
145,12,51770,452.011837,3821,1843,1956,2746,630,630,0,60,117,160,123,170,0,0,0,0,,143,145
146,12,51770,90.319283,800,351,432,630,16,16,0,11,0,0,0,5,0,0,0,0,,144,146
147,12,51770,261.404349,1366,762,786,1152,645,645,568,100,124,48,54,319,0,0,0,0,,145,147
148,12,51770,625.178231,4156,2152,2197,3705,2221,2221,955,208,352,398,277,986,0,0,0,0,,146,148
149,10,51770,329.191990,1351,631,478,1273,95,95,0,13,11,0,9,62,0,0,0,0,,147,149
150,10,51770,567.772085,1756,853,610,1418,892,892,658,2,146,43,74,627,0,0,0,0,,148,150
151,10,51770,496.438021,856,466,241,884,214,214,0,62,46,41,16,49,0,0,0,0,,149,151
152,10,51770,279.792461,501,380,174,380,1056,1056,0,466,235,25,123,207,0,0,0,0,,150,152
153,10,51770,493.278285,1303,515,885,1056,906,906,0,2,878,0,10,16,0,0,0,0,,151,153
154,8,51770,269.291289,998,376,387,629,15,15,0,0,0,0,0,15,0,0,0,0,,152,154
155,8,51770,299.785844,1459,586,789,1290,60,60,0,7,25,2,8,18,0,0,0,0,,153,155
156,8,51770,552.988583,3015,1210,1383,2273,350,350,0,9,88,83,50,120,0,0,0,0,,154,156
157,8,51770,448.653558,1708,676,761,1463,250,250,0,2,145,19,32,52,0,0,0,0,,155,157
158,8,51770,796.634216,2581,1138,1009,1504,1695,1695,1453,187,276,80,389,763,0,0,0,0,,156,158
159,12,51770,1035.216434,58,29,32,35,3976,3441,0,968,550,32,481,1410,0,0,535,0,Roanoke-Blacksburg Regional Airport,157,159
160,12,51770,212.840276,0,0,0,0,1600,1292,0,18,105,273,709,187,308,0,0,0,Sam's Club and nearby retail,158,160
161,12,51770,990.595641,2900,1250,1100,2460,194,194,0,129,9,0,0,56,0,0,0,0,,159,161
162,12,51770,1049.431243,530,168,200,239,3200,3200,0,1100,300,100,1100,600,0,0,0,0,,160,162
163,11,51770,796.299578,2060,1199,1344,1952,920,920,0,280,100,160,100,280,0,0,0,0,,161,163
164,11,51770,1287.300204,1429,701,508,954,1109,1109,0,74,511,174,72,278,0,0,0,0,,162,164
165,11,51770,301.645183,1141,907,712,1194,1705,1705,0,23,543,298,388,453,0,0,0,0,,163,165
166,12,51770,394.342261,1520,799,799,944,3635,1232,601,6,400,401,47,378,2403,0,0,0,Valley View Mall and Immediately Adjacent Development,164,166
167,7,51775,125.714002,222,85,80,73,865,865,0,5,90,120,350,300,0,0,0,0,,165,167
168,6,51775,548.978563,1428,543,745,1240,21,21,0,10,3,0,4,4,0,0,0,0,,166,168
169,6,51775,201.640947,850,374,500,450,470,20,0,0,0,0,10,10,0,0,0,450,Roanoke College,167,169
170,7,51775,266.682797,562,323,459,730,71,71,0,2,33,1,8,27,0,0,0,0,,168,170
171,7,51775,136.161694,1033,513,457,688,175,175,0,2,12,4,28,129,0,0,0,0,,169,171
172,7,51775,409.511724,1527,597,726,1277,915,915,0,111,292,0,326,186,0,0,0,0,,170,172
173,7,51775,310.840191,1497,556,719,933,555,555,0,22,223,18,67,225,0,0,0,0,,171,173
174,7,51775,212.288443,832,380,388,704,350,350,0,14,133,120,29,54,0,0,0,0,,172,174
175,7,51775,393.038560,1383,807,609,1224,1075,1075,442,848,60,7,87,73,0,0,0,0,,173,175
176,7,51775,320.206067,214,173,208,242,2200,1745,0,17,218,0,133,1377,0,455,0,0,Salem Veterans Affairs Medical Center,174,176
177,7,51775,188.310069,872,634,356,753,2015,830,0,0,290,132,97,311,0,1185,0,0,Lewis Gale Hospital,175,177
178,7,51775,319.489846,326,123,182,242,2105,2105,0,1085,187,102,446,285,0,0,0,0,,176,178
179,7,51775,381.419265,527,152,250,367,1061,1061,0,372,85,0,276,328,0,0,0,0,,177,179
180,7,51775,228.453713,599,282,190,461,699,699,1351,113,80,62,43,401,0,0,0,0,,178,180
181,7,51775,463.028200,1680,676,837,1119,750,750,0,379,112,34,55,170,0,0,0,0,,179,181
182,6,51775,330.604501,2197,847,1128,1784,125,125,0,0,17,9,12,87,0,0,0,0,,180,182
183,6,51775,307.585507,791,361,435,629,1095,1095,0,319,310,177,63,226,0,0,0,0,,181,183
184,6,51775,216.978618,930,412,476,861,155,155,0,2,29,87,27,10,0,0,0,0,,182,184
185,6,51775,296.419157,952,392,360,734,1104,1104,1643,42,270,224,111,457,0,0,0,0,,183,185
186,7,51775,283.703563,746,366,441,494,985,985,0,134,279,74,66,432,0,0,0,0,,184,186
187,6,51775,710.933626,903,270,492,577,285,285,0,17,53,35,4,176,0,0,0,0,,185,187
188,6,51775,231.921395,767,401,459,624,656,656,0,16,443,74,20,103,0,0,0,0,,186,188
189,6,51775,274.155884,714,332,306,782,230,230,0,8,162,28,5,27,0,0,0,0,,187,189
190,6,51775,195.814688,926,388,373,760,105,105,0,35,29,0,26,15,0,0,0,0,,188,190
191,6,51775,338.324147,98,50,50,27,1339,1339,0,522,290,261,44,222,0,0,0,0,,189,191
192,6,51775,444.869891,1880,841,891,1793,340,340,414,69,98,2,25,146,0,0,0,0,,190,192
193,7,51775,613.781598,1423,551,614,1208,85,85,0,3,10,0,10,62,0,0,0,0,,191,193
194,6,51775,552.667079,1396,608,761,1317,114,114,0,0,3,0,3,108,0,0,0,0,,192,194
17,5,51023,1140.732285,100,37,58,93,20,20,0,0,0,0,0,20,0,0,0,0,,193,17
197,9,51770,186.615410,30,12,17,16,2203,2203,0,150,50,153,400,1450,0,0,0,0,,194,197
198,9,51770,186.615410,70,29,39,38,2920,2920,0,50,220,350,1500,800,0,0,0,0,,195,198
88,9,51770,95.283801,218,161,169,153,1265,1265,0,417,0,3,11,834,0,0,0,0,,196,88
199,9,51770,186.615410,65,27,36,35,2825,2825,0,20,140,280,1635,750,0,0,0,0,,197,199
200,9,51770,186.615410,135,56,74,73,1997,1997,50,20,137,290,1100,450,0,0,0,0,,198,200
201,9,51770,186.615410,80,33,44,43,1095,1095,0,25,40,80,600,350,0,0,0,0,,199,201
205,9,51770,118.525431,131,89,55,57,645,645,0,130,70,5,40,400,0,0,0,0,,200,205
206,9,51770,185.782946,548,196,246,242,210,210,0,110,35,10,5,50,0,0,0,0,,201,206
203,7,51775,125.714002,35,10,18,15,517,517,0,5,30,80,190,212,0,0,0,0,,202,203
204,7,51775,125.714002,240,89,100,90,749,749,0,17,28,54,150,500,0,0,0,0,,203,204
202,9,51770,161.245690,74,59,46,52,1359,1359,0,40,30,7,146,1136,0,0,0,0,,204,202
,,,,,,,,,,,,,,,,,,,,,,
